Task,BCET,WCET,Period,Deadline,Priority
Task_0,0,1,25,25,1
Task_1,3,7,100,100,5
Task_2,0,1,50,50,3
Task_3,4,9,150,150,7
Task_4,7,18,200,200,8
Task_5,0,1,20,20,0
Task_6,4,9,300,300,9
Task_7,1,3,60,60,4
Task_8,3,12,600,600,13
Task_9,49,144,1800,1800,16
Task_10,30,84,1200,1200,15
Task_11,31,63,900,900,14
Task_12,72,192,2400,2400,17
Task_13,4,9,450,450,12
Task_14,1,2,40,40,2
Task_15,154,432,7200,7200,19
Task_16,2,6,120,120,6
Task_17,1,4,400,400,11
Task_18,41,108,3600,3600,18
Task_19,8,18,360,360,10
