Task,BCET,WCET,Period,Deadline,Priority
Task_0,0,1,100,100,3
Task_1,3,9,300,300,7
Task_2,0,1,50,50,1
Task_3,0,1,25,25,0
Task_4,0,2,200,200,5
Task_5,5,12,600,600,10
Task_6,1,3,75,75,2
Task_7,1,6,150,150,4
Task_8,10,36,1200,1200,13
Task_9,2,9,900,900,12
Task_10,14,36,1800,1800,16
Task_11,7,18,450,450,9
Task_12,19,54,1350,1350,14
Task_13,24,54,2700,2700,18
Task_14,33,108,3600,3600,19
Task_15,51,162,8100,8100,23
Task_16,73,162,5400,5400,22
Task_17,2,4,400,400,8
Task_18,160,432,10800,10800,24
Task_19,6,16,800,800,11
Task_20,275,648,32400,32400,28
Task_21,11,24,2400,2400,17
Task_22,2,9,225,225,6
Task_23,37,162,4050,4050,20
Task_24,33,96,4800,4800,21
Task_25,130,324,16200,16200,25
Task_26,6,16,1600,1600,15
Task_27,178,864,21600,21600,26
Task_28,473,972,24300,24300,27
Task_29,1108,2916,72900,72900,29
